id,species,observed_on,place,time_observed_at,created_at,quality_grade,user,latitude,longitude,num_identification_agreements,num_identification_disagreements,captive,life_stage,url
199755670,"Northern Diamondback Terrapin",2024-02-18,"New Jersey, US",NULL,"2024-02-18 22:45:51",research,schoenitz,39.5567588,-74.2119647,3,0,0,NULL,https://www.inaturalist.org/observations/199755670
202494935,"Northern Diamondback Terrapin",2024-03-14,"New Jersey, US",NULL,"2024-03-15 00:51:01",research,earlistotle,39.5241683,-74.4448052,2,0,0,NULL,https://www.inaturalist.org/observations/202494935
207582445,"Northern Diamondback Terrapin",2024-04-15,"New Jersey, US",NULL,"2024-04-16 10:53:57",research,melissalaurino,39.4133719,-74.4620752,1,0,0,NULL,https://www.inaturalist.org/observations/207582445
208269640,"Northern Diamondback Terrapin",2024-04-18,"New Jersey, US",NULL,"2024-04-20 10:20:37",research,h_456,39.2361075,-74.7505057,2,0,0,NULL,https://www.inaturalist.org/observations/208269640
208342292,"Northern Diamondback Terrapin",2024-04-20,"New Jersey, US",NULL,"2024-04-20 16:08:31",research,h_456,39.2515156,-74.7287655,3,0,0,NULL,https://www.inaturalist.org/observations/208342292
208354012,"Northern Diamondback Terrapin",2024-04-20,"New Jersey, US",NULL,"2024-04-20 17:05:35",research,lrburger,39.6693318,-74.3803087,1,0,0,NULL,https://www.inaturalist.org/observations/208354012
208355146,"Northern Diamondback Terrapin",2024-04-20,"New Jersey, US",NULL,"2024-04-20 17:09:58",research,lrburger,39.7223570,-74.3810924,2,0,0,NULL,https://www.inaturalist.org/observations/208355146
210980521,"Northern Diamondback Terrapin",2024-04-28,"New Jersey, US",NULL,"2024-04-28 13:53:26",research,lrburger,39.1088020,-75.1766772,2,0,0,NULL,https://www.inaturalist.org/observations/210980521
210995322,"Northern Diamondback Terrapin",2024-04-28,"New Jersey, US",NULL,"2024-04-28 14:15:46",research,lrburger,39.0756368,-75.0353553,2,0,0,NULL,https://www.inaturalist.org/observations/210995322
211322315,"Northern Diamondback Terrapin",2024-04-28,"New Jersey, US",NULL,"2024-04-28 23:08:55",research,earlistotle,39.5808045,-74.4888676,2,0,0,NULL,https://www.inaturalist.org/observations/211322315
211852453,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 17:04:16",research,lrburger,39.7152804,-74.3710427,2,0,0,NULL,https://www.inaturalist.org/observations/211852453
211854301,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 17:06:46",research,lrburger,39.7886981,-74.3519509,1,0,0,NULL,https://www.inaturalist.org/observations/211854301
211855830,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 17:08:56",research,lrburger,39.6090395,-74.3168022,1,0,0,NULL,https://www.inaturalist.org/observations/211855830
211856235,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 17:09:33",research,lrburger,39.6616684,-74.3430597,2,0,0,NULL,https://www.inaturalist.org/observations/211856235
211876432,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 17:35:36",research,lrburger,39.7370590,-74.3343612,1,0,0,NULL,https://www.inaturalist.org/observations/211876432
211894750,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 18:02:39",research,lrburger,39.6052777,-74.3430418,2,0,0,NULL,https://www.inaturalist.org/observations/211894750
211911309,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-29 18:28:37",research,melissalaurino,39.5385827,-74.4860628,2,0,0,NULL,https://www.inaturalist.org/observations/211911309
212252833,"Northern Diamondback Terrapin",2024-04-29,"New Jersey, US",NULL,"2024-04-30 10:07:43",research,h_456,39.3370014,-74.7290697,3,0,0,NULL,https://www.inaturalist.org/observations/212252833
212703462,"Northern Diamondback Terrapin",2024-05-01,"New Jersey, US",NULL,"2024-05-01 16:16:20",research,lrburger,39.7028919,-74.3727031,2,0,0,NULL,https://www.inaturalist.org/observations/212703462
212714130,"Northern Diamondback Terrapin",2024-05-01,"New Jersey, US",NULL,"2024-05-01 16:58:28",research,lrburger,39.7276142,-74.2621300,2,0,0,NULL,https://www.inaturalist.org/observations/212714130
212715531,"Northern Diamondback Terrapin",2024-05-01,"New Jersey, US",NULL,"2024-05-01 17:03:22",research,lrburger,39.7608537,-74.2455489,2,0,0,NULL,https://www.inaturalist.org/observations/212715531
212723592,"Northern Diamondback Terrapin",2024-05-01,"New Jersey, US",NULL,"2024-05-01 17:33:52",research,lrburger,39.7990677,-74.2001485,2,0,0,NULL,https://www.inaturalist.org/observations/212723592
213780360,"Northern Diamondback Terrapin",2024-05-05,"New Jersey, US",NULL,"2024-05-05 15:37:26",research,alex_cicindela_guy,39.5428492,-74.4341385,2,0,0,NULL,https://www.inaturalist.org/observations/213780360
214014235,"Northern Diamondback Terrapin",2024-05-06,"Cape May County, US-NJ, US",NULL,"2024-05-06 13:11:13",research,saravahd,38.9218694,-74.8094971,2,0,0,NULL,https://www.inaturalist.org/observations/214014235
214265565,"Northern Diamondback Terrapin",2024-05-07,"New Jersey, US",NULL,"2024-05-07 17:14:59",research,lrburger,39.6836073,-74.3556726,2,0,0,NULL,https://www.inaturalist.org/observations/214265565
214269933,"Northern Diamondback Terrapin",2024-05-07,"New Jersey, US",NULL,"2024-05-07 17:39:20",research,lrburger,39.7520570,-74.2190942,3,0,0,NULL,https://www.inaturalist.org/observations/214269933
