observation_id,life_stage,sex,alive_or_dead
261884691,NULL,NULL,NULL
254257962,NULL,NULL,NULL
254049481,NULL,NULL,NULL
253770912,NULL,NULL,NULL
253770907,NULL,NULL,NULL
253770906,NULL,NULL,NULL
253770905,NULL,NULL,NULL
251702814,NULL,NULL,NULL
251494634,Juvenile,NULL,NULL
249922108,Juvenile,NULL,NULL
249082086,Juvenile,NULL,NULL
249010177,NULL,NULL,NULL
247487416,NULL,NULL,NULL
246357070,NULL,NULL,NULL
246213406,Adult,NULL,NULL
246100048,NULL,NULL,NULL
244933289,Juvenile,NULL,NULL
244933151,Juvenile,NULL,NULL
244932918,Juvenile,NULL,NULL
244028529,NULL,NULL,NULL
242788540,NULL,NULL,NULL
242738296,NULL,NULL,NULL
242327948,NULL,NULL,NULL
241974151,NULL,NULL,NULL
241537957,NULL,NULL,NULL
241300345,NULL,NULL,NULL
241000906,NULL,NULL,NULL
240942669,NULL,NULL,NULL
240576001,NULL,NULL,NULL
239269850,NULL,NULL,NULL
238647936,NULL,NULL,NULL
238647935,NULL,NULL,NULL
238455063,NULL,NULL,NULL
238327174,NULL,NULL,NULL
238301755,NULL,NULL,NULL
238070377,NULL,NULL,NULL
237914956,NULL,NULL,NULL
235652361,NULL,NULL,NULL
235629986,NULL,NULL,NULL
235465882,NULL,NULL,NULL
234685592,NULL,NULL,NULL
233992218,NULL,NULL,NULL
233586095,NULL,NULL,NULL
233509286,NULL,NULL,NULL
233509274,NULL,NULL,NULL
233509273,NULL,NULL,NULL
233509271,NULL,NULL,NULL
233509264,NULL,NULL,NULL
233509263,NULL,NULL,NULL
233509262,NULL,NULL,NULL
233509254,NULL,NULL,NULL
233509253,NULL,NULL,NULL
233509250,NULL,NULL,NULL
233302525,NULL,NULL,NULL
231535743,NULL,NULL,NULL
231533551,Adult,NULL,NULL
231503887,Adult,NULL,NULL
231123056,NULL,NULL,NULL
230606199,Juvenile,NULL,NULL
230082131,NULL,NULL,NULL
230030817,NULL,NULL,NULL
229604805,NULL,NULL,NULL
229293212,NULL,NULL,NULL
229148029,NULL,NULL,NULL
229094522,NULL,NULL,NULL
229091497,NULL,NULL,NULL
229080659,NULL,NULL,NULL
229079426,NULL,NULL,NULL
229077914,NULL,NULL,NULL
229049864,NULL,NULL,NULL
228862681,NULL,NULL,NULL
228602517,Juvenile,NULL,NULL
228526993,Adult,NULL,NULL
228526992,Adult,NULL,NULL
228489357,NULL,NULL,NULL
228476289,NULL,NULL,NULL
228439508,Adult,NULL,NULL
228341939,NULL,NULL,NULL
228152666,NULL,NULL,NULL
228080387,NULL,NULL,NULL
228077726,NULL,NULL,NULL
228026207,Adult,NULL,NULL
227797321,Adult,NULL,NULL
227796988,Adult,NULL,NULL
227793445,Adult,NULL,NULL
227792793,Adult,NULL,NULL
227791031,Adult,NULL,NULL
227790802,Adult,NULL,NULL
227734196,NULL,NULL,NULL
227733974,NULL,NULL,NULL
227665307,NULL,NULL,NULL
227549007,NULL,NULL,NULL
227546281,NULL,NULL,NULL
227545600,NULL,NULL,NULL
227545568,NULL,NULL,NULL
227544883,Adult,NULL,NULL
227543400,Adult,NULL,NULL
227542870,NULL,NULL,NULL
227540469,Adult,NULL,NULL
227538337,NULL,NULL,NULL
227535874,NULL,NULL,NULL
227535326,NULL,NULL,NULL
227534923,NULL,NULL,NULL
227527716,NULL,NULL,NULL
227437002,NULL,NULL,NULL
227344482,Adult,NULL,NULL
227317339,Adult,NULL,NULL
227316337,NULL,NULL,NULL
227315909,Adult,NULL,NULL
227315367,Adult,NULL,NULL
227314503,Adult,NULL,NULL
227313647,Adult,NULL,NULL
227313630,NULL,NULL,NULL
227311689,Juvenile,NULL,NULL
227311575,NULL,NULL,NULL
227310147,Adult,NULL,NULL
227310029,Adult,NULL,NULL
227307016,NULL,NULL,NULL
227305618,Adult,NULL,NULL
227305605,NULL,NULL,NULL
227305565,Adult,NULL,NULL
227303624,Adult,NULL,NULL
227302944,Adult,NULL,NULL
227302183,NULL,NULL,NULL
227301501,Adult,NULL,NULL
227299556,Adult,NULL,NULL
227298943,Adult,NULL,NULL
227297536,NULL,NULL,NULL
227295068,NULL,NULL,NULL
227278767,Adult,NULL,NULL
227143151,NULL,NULL,NULL
227142582,NULL,NULL,NULL
227136595,NULL,NULL,NULL
227136142,NULL,NULL,NULL
227132862,NULL,NULL,NULL
226809594,Adult,NULL,NULL
226805534,NULL,NULL,NULL
226805418,NULL,NULL,NULL
226799901,NULL,NULL,NULL
226742784,NULL,NULL,NULL
226736435,NULL,NULL,NULL
226735984,NULL,NULL,NULL
226698611,NULL,NULL,NULL
226698556,NULL,NULL,NULL
